mal_id,titles,type,genre_1,genre_2,source,studios,episodes,rating,score,audicence_rank,scored_by,rank,members,favorites,synopsis,airing,genres,year,season,status
25627,"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",Movie,,,Unknown,,1.0,PG - Children,5.58,15539,127.0,11493.0,558,3,Based on Aesop's Fables.,,,,,
29673,Shin Tenchi Souzou,Movie,Comedy,,Original,,1.0,G - All Ages,5.01,15583,241.0,12720.0,554,0,Independent animation by Tsukioka Sadao.,,,,,
10812,Toumei Shounen Tantei Akira,Special,Action,,Original,Knack Productions,1.0,PG-13 - Teens 13 or older,4.78,15588,225.0,12950.0,552,0,"Akira, a young detective, uses his Invisibility to investigate a case where the Mona Lisa has been stolen by the villainous Team Z.

(Source: TV Tropes)",,,,,
30327,New York Trip,Movie,Avant Garde,,Original,Takun Manga Box,1.0,R+ - Mild Nudity,4.72,15715,262.0,13006.0,539,0,Furukawa Taku film.,,,,,
29587,Home My Home,Movie,Award Winning,,Original,,1.0,G - All Ages,5.22,16199,217.0,12397.0,486,0,Short animation by Tadanari Okamoto.,,,,,
21711,Il torero Camomillo,Music,,,Music,,1.0,G - All Ages,4.88,17086,198.0,,408,0,"An adaptation of the winning song from the 10th Zecchino d'Oro in 1968, an Italian hosted international children's song festival. The song was ""Il torero Camomillo"" by Michele Grandolfo.",,,,,
24927,Chuuchuu Banban,Movie,Adventure,,Unknown,Toei Animation,1.0,PG - Children,,17969,,16303.0,342,0,,,,,,
34340,Hikoichi Tonchi Banashi,Movie,,,Other,,1.0,G - All Ages,,19756,,17422.0,234,0,"Hikoichi and Osato, who are selling the many watermelons they harvested, in front of the castle, happen to meet a chief counselor named Chuemon. Chuemon was at his wits end because a messenger from a neighboring country had come to him with an unreasonable demand and he was looking for someone wise and intelligent to help him. Hikoichi agrees to help him, on the condition that Chuemon buys all of the watermelons if Hikoichi can win a battle of wits. Hikoichi makes seemingly impossible problems possible using his wits and unconventional methods. This drama rhythmically progresses with wisdom and courage.

(Source: Sukugawa International Short Film Festival)",,,,,
36380,Power Powan,Music,,,Original,,1.0,G - All Ages,,20417,,,196,0,,,,,,
58290,Aitsu,Music,,,Original,,1.0,G - All Ages,,26172,,,57,0,Music video for the song Aitsu by Duke Aces that was featured on NHK's Minna no Uta program. It is considered to be lost media.,,,,,
58010,Umi wo Watatta Shika,Music,,,Original,,1.0,G - All Ages,,26508,,,51,0,Music video for the song Umi wo Watatta Shika by the Tokyo Shounen Shoujo Gasshoutai that was featured on NHK's Minna no Uta program. It is considered to be lost media.,,,,,
2402,Ashita no Joe,TV,Drama,Sports,Manga,Mushi Production,79.0,PG-13 - Teens 13 or older,8.32,2185,24050.0,242.0,92649,1996,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.

One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways.

To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end.

[Written by MAL Rewrite]",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1970.0,spring,Finished Airing
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
3858,Konchuu Monogatari Minashigo Hutch,TV,Adventure,Comedy,Original,Tatsunoko Production,91.0,G - All Ages,7.2,9240,2184.0,3384.0,3863,31,"Hutch is a small honeybee who got separated from his mom when his home was destroyed by invading wasps, and he now desperately wants to find her back. It's the beginning of an adventure that will make him meet all kinds of friendly insects who try to help him out, but unfortunately for most of them, they will not survive the end of the episode... 

(Source: AniDB)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]",1970.0,spring,Finished Airing
2316,Akakichi no Eleven,TV,Sports,,Unknown,,52.0,PG-13 - Teens 13 or older,6.63,10960,601.0,6419.0,2230,8,"At Shinsei high school, soccer is almost a combat sport and new team coach Teppei Matsuki is a fully paid up sadist who will push his team as hard as necessary to win. Headstrong school bad boy Shingo Tamai and his friend Ohira are determined not to be bullied into joining Matsuki's team; instead they set up a squad of their own, and at first play just for fun and struggle to keep up with Matsuki's team. 

As their skills progress, they play other teams and get stronger and craftier, until they face the crack Asakase high school squad and its star player Misugi Yan in the schools' final. In a tangle of subplots involving old rivalries and injuries, and a mixed-race player seeking his identity and his lost mother (who turns out to be in jail), Shingo develops his skills as a center forward and looks forward to playing a visiting Brazilian squad. He is seriously injured in a game, but his talent, which even the legendary Brazilian Pele recognizes, is equaled by his determination. With the help of a friend of his old rival Matsuki, he recovers to help the team to victory. 

Definitely melodrama rather than a sports series proper, this is the first in the line of Japanese soccer soaps that stretches to Captain Tsubasa and beyond. Based on a manga by Ikki Kajiwara and Kosei Sonoda. 

(Source: The Anime Ecyclopedia)",False,"[{'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1970.0,spring,Finished Airing
9284,Bakuhatsu Gorou,TV,Comedy,Sports,Unknown,Eiken,26.0,G - All Ages,5.94,13975,160.0,10049.0,870,0,"The non-athletic head of the school newspaper department participates in various club activities, including a number of sports clubs, with disastrously hilarious results.

(Source: AniDB)",,,,,
20009,Doubutsu Mura Monogatari,TV,,,Unknown,Eiken,100.0,PG - Children,,16365,,16677.0,469,0,"A short kids series featuring cute animal stories.

(Source: AniDB)",,,,,
20025,Itazura Tenshi Chippo-chan,TV,Comedy,,Unknown,,240.0,PG - Children,,16638,,17729.0,444,0,"Humorous adventures of a silly angel, 5 minutes per episode.

(Source: AniDB)",,,,,
20023,Otanoshimi Anime Gekijou,TV,Comedy,,Unknown,,26.0,G - All Ages,,16844,,19684.0,426,0,Based on the original story by Studio Zero.,,,,,
36358,Tsubiregg Tsuburegg March,Music,,,Original,,1.0,G - All Ages,5.17,19557,109.0,,243,0,Anthropomorphic eggs go through a march.,,,,,
42919,Funiculì funiculà,Music,,,Music,,1.0,G - All Ages,5.24,19923,123.0,,225,0,"The Japanese version of the 1880 Neapolitan song Funiculì funiculà, originally composed by Luigi Denza, with lyrics from Peppino Turco. It was written to commemorate the opening of the first funicular railway on Mount Vesuvius. A Japanese rendition of the song performed by Duke Aces was originally broadcast on NHK's Minna no Uta program in April 1961. It was released under the title Tozandensha (Mountain Railway) and was accompanied by shadow play from the Kakashiza Shadow Play Theatre. It is believed to now be lost media.

In June 1970, a performance of the song by the Hibarigaoka Boys and Girls Choir (Hibarigaoka Shounen Shoujo Gasshoudan) was broadcast on the Minna no Uta program, this time under the original song title. The accompanying video was animated by Hal Fukushima.",,,,,
56201,Akubi no Mukou ni Tobidasou,Music,,,Original,,1.0,G - All Ages,,23081,,,94,0,Music video for the song Akubi no Mukou ni Tobidasou by Nishirokugou Shounen Shoujo Gasshoudan that was featured on NHK's Minna no Uta program.,,,,,
57563,Ore wa Hitori de,Music,,,Original,,1.0,G - All Ages,,25936,,,59,0,Music video for the song Ore wa Hitori de by Ken to Yuuzou that was featured on NHK's Minna no Uta program.,,,,,
57178,Tsuki kara Kita Jean,Music,,,Original,Otogi Production,1.0,G - All Ages,,25858,,,59,0,Music video for the song Tsuki kara Kita Jean by the Suginami Jidou Gasshoudan that was featured on NHK's Minna no Uta program. It is considered to be lost media.,,,,,
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
2755,Cleopatra,Movie,Sci-Fi,,Original,Mushi Production,1.0,R+ - Mild Nudity,5.61,7562,2520.0,11404.0,6643,14,"In the far future, earthlings come across the foreign planet of Pasatorine. Few things are understood about the planet, but it is clear that earthlings are not welcome there. However, the inhabitants of Pasatorine have initiated something called the ""Cleopatra Plan."" Puzzled why an alien planet would name a plan after a woman from Earth, the military decides to send three soldiers' minds back to the past to study Cleopatra's life.

The Kingdom of Egypt, led by the drunkard Ptolemy, is threatened by Julius Caesar and the Roman empire. In an attempt to save Egypt, Cleopatra, the younger sister of Ptolemy, chooses to undergo a procedure that makes her body irresistible to Caesar. Caesar is immediately smitten and desires to rule Egypt with Cleopatra at his side—but little does he know that she intends to assassinate him as soon as she can.

[Written by MAL Rewrite]",False,"[{'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",,,Finished Airing
9172,Kaitei Sanman Mile,Movie,Adventure,Fantasy,Original,Toei Animation,1.0,G - All Ages,6.2,12990,483.0,8811.0,1146,1,"Returning home from an ocean trip, young Isamu meets the beautiful sea-dweller Angel on a volcanic island. Attacked by a fiery dragon, Isamu and Angel escape on the observation boat See Through, and Angel invites Isamu to see her undersea kingdom of Atlas.

(Source: AniDB)",,,,,
18063,Tiger Mask Fuku Men League Sen,Movie,Sports,,Manga,Toei Animation,1.0,PG-13 - Teens 13 or older,6.28,13223,283.0,8456.0,1071,0,Summary of episode 23 to 26.,,,,,
9165,Attack No.1: Namida no Kaiten Receive,Movie,Drama,Sports,Unknown,,1.0,PG-13 - Teens 13 or older,6.36,13229,333.0,7982.0,1067,1,The 2nd Attack No.1 recap film. This covers episode 7-14 of the original TV series.,,,,,
17447,Kyojin no Hoshi: Shukumei no Taiketsu,Movie,Drama,Sports,Unknown,,1.0,G - All Ages,,15924,,18509.0,516,1,Fourth Kyojin no Hoshi movie.,,,,,
25921,Koori no Kuni no Misuke,Movie,Adventure,,Unknown,Tezuka Productions,1.0,G - All Ages,,16257,,18358.0,479,0,"A puppy, Poko, jumps out of a refrigerator and takes a boy, Misuke, to an ice world full of adventure through the refrigerator. In the ice world, there is a girl called Nally who wants warm food. So they try to find some warm food for her, but everything freezes so quickly in the ice world...

Note: Short animated piece designed to attract new students for Yamaha electric organ classes.

(Source: tezukaosamu.net)",,,,,
23001,Manga Jinbutsushi,TV,,,Unknown,,365.0,G - All Ages,,16421,,18810.0,463,1,"A short documentary series. Each 5 minute episode aired Monday through Saturday.

(Source: AniDB)",,,,,
22999,Nippon Tanjou,TV,,,Unknown,Mushi Production,5.0,G - All Ages,,16463,,19483.0,460,0,"A history of Japan with the main characters as animals.

(Source: AniDB)",,,,,
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
4113,Mahou no Mako-chan,TV,Fantasy,Romance,Original,Toei Animation,48.0,G - All Ages,6.8100000000000005,10954,625.0,5386.0,2234,3,"Mako is a young siren and daughter to the King of the Sea. In a stormy day she rescues the young sport Akira from a wrecked ship, but ends up falling in love with him. So, with help from the Witch of the Sea, she's transformed into a human, and becomes a highschool student who helps everyone with her strong sense of love and justice and her magical pendant, the ""Tear of the Mermaid.""

(Source: ANN)",False,"[{'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}]",1970.0,fall,Finished Airing
3870,Kick no Oni,TV,Sports,,Manga,Toei Animation,26.0,,6.22,12938,272.0,8729.0,1160,2,"An arrogant karate master named Tadashi Sawamura enters the kickboxing ring to prove his superiority, only to be beaten into a coma by a practictioner of the new art. After recovering, his trainer Endo convinced Sawamura to study kickboxing in order to regain his honor. The series is loosely based on the real-life exploits of champion kickboxer Tadashi Sawamura.

(Source: ANN)",False,"[{'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1970.0,fall,Finished Airing
9166,Attack No.1: Namida no Sekai Senshuken,Movie,Drama,Sports,Unknown,,1.0,PG-13 - Teens 13 or older,6.3,13311,312.0,8331.0,1041,0,The third Attack No.1 recap film. This covers the championship arc in New York where the All Japan team plays against the Soviet Union.,,,,,
8786,Inakappe Taishou,TV,Comedy,Sports,Unknown,Tatsunoko Production,104.0,,6.92,13385,429.0,4829.0,1022,2,"A comedy about a country boy that travels to the city to study judo. He ends up meeting the daughter of a prominent dojo and her judo skilled cat. Each episode features 2 stories. 

(Source: AniDB)",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1970.0,fall,Finished Airing
23013,Norakuro,TV,Comedy,,Manga,Eiken,26.0,G - All Ages,6.2,15053,132.0,8814.0,631,0,"Norakuro is a black dog enlisted in the ""Mokenrentai"" (Fierce Dog Brigade), an Imperial army of dogs fighting in a war against the enemy Monkey Army.

Norakuro is a stray black-and-white dog in an army of white dogs who blundered his way while being a Private Second-Class.

This series  was relatively faithful to the comics. One big change, however, was the addition of the army nurse Miko, whom Norakuro had a crush on. For this series, Norakuro was voiced by Nobuyo Ooyama, who would later become noted for voicing Doraemon.

(Source: Cartoon Research)",,,,,
8778,Avignon no Hashi de,Music,,,Music,,1.0,G - All Ages,4.8,15094,317.0,,621,1,"A Japanese version of an old 15th century French song 'Sur le Pont d'Avignon,' which describes how people would come and dance on the Pont St. Bénézet (Pont d’Avignon).",False,[],,,Finished Airing
23011,Otoko Doahou! Koushien,TV,Sports,,Unknown,,156.0,G - All Ages,,15372,,19690.0,583,2,"The story of a dim country boy who dreams of making it to the high school baseball championships in Koshien. Each 10 minutes episode ran from Monday to Saturday.

(Source: AniDB)",,,,,
20079,Ijiwaru Baasan,TV,Comedy,Slice of Life,Manga,Knack Productions,39.0,,,15773,,17680.0,531,0,"Based on a 1966 manga by Sazae-san creator Hasegawa Machiko.

This is another slice-of-everyday-life tale, centered around a spiteful old woman who causes trouble for neighbours with her constant bumbling and grumbling.

(Source: ANN)",,,,,
22219,Warera Salaryman Tou,TV,Comedy,Slice of Life,Unknown,,26.0,G - All Ages,,17260,,14288.0,395,1,Fuji TV's  series of short four-minute animation based on the four panel comic by  Suzuki Yoshiji.,,,,,
36347,Gomennasai,Music,,,Original,,1.0,G - All Ages,5.52,18942,131.0,,279,0,An anthropomorphic dog tires to do his best but makes careless errors. Such as cleaning the floors and dumping the bucket of dirty water out the window...which drenches a teacher walking by. He always tries to apologize for his mistakes.,,,,,
38324,Haru wo Yobu Yume,Music,,,Original,Asahi Production,1.0,G - All Ages,5.46,19423,126.0,,252,0,"A boy takes a walk outside as he notices little bits of spring starts to appear. Though in the end, it turns out he is merely dreaming it and winter is at its peak.

The music video was re-aired after 44 years due to being lost media. The Minna no Uta Hakkutsu Project (Minna no Uta Excavation Project) was able to find discover a copy of the original audio, as only the animated footage was originally saved by the NHK in the 70s.",,,,,
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
3842,Doubutsu Takarajima,Movie,Adventure,,Novel,Toei Animation,1.0,G - All Ages,6.53,10150,1118.0,7037.0,2855,4,"Jim is working as an innkeeper, together with his friend, the mouse Gran. One day, a mysterious man visits the inn, leaving a map behind. The map shows an island with a treasure. So the duo sets off in their own little boat, trying to fulfil their dreams and leaving the inn far behind. But it seems more people knows of the map, as they cross paths with Captain Silver and his band of wild pirates. Jim, Gran and their new friend Kathy tries to beat them in the treasure hunt that ensues.

(Source ANN)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}]",,,Finished Airing
29617,Good-by Elvis and USA,Movie,Avant Garde,,Original,,1.0,R+ - Mild Nudity,3.04,11821,1032.0,13330.0,1664,0,"A chaotic mixture of hand-drawn animation and magazine cut-outs appropriating American pop culture. With a soundtrack involving music and sounds played in reverse, iconography of war and pop culture are intercut or merged together with images of eroticism and consumption. The film screened at the 3rd Sogetsu Animation Festival 1971.

(Source: Collaborative Cataloging Japan)",,,,,
7779,Andersen Monogatari (TV),TV,Drama,Fantasy,Unknown,,52.0,PG - Children,6.67,12706,369.0,6166.0,1238,1,Adaptations of numerous stories written by Hans Christian Andersen.,False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}]",1971.0,winter,Finished Airing
29619,Good-by Marilyn,Movie,Avant Garde,,Original,,1.0,R+ - Mild Nudity,3.65,12966,679.0,13292.0,1154,0,"Animated to the song ‘Manatsu no dekigoto’ (Midsummer Happening) by Miki Hirayama, the film is a playfully erotic animation with appropriated images that include Marilyn Monroe, Mickey Mouse, Superman, Roy Lichtenstein prints and the Glico chocolate icon of a man running through the finishing line of a race. Screened at the 3rd Animation Festival at Sogetsu Art Center in the same year that Tanaami participated in the exhibition ‘Watashi no Marilyn Monroe’ (My Marilyn Monroe) at Gallery Décor, Tokyo.

(Source: Collaborative Cataloging Japan)",,,,,
9164,Attack No.1: Namida no Fushichou,Movie,Drama,Sports,Unknown,,1.0,PG-13 - Teens 13 or older,6.09,13373,291.0,9355.0,1024,1,The fourth and final recap film of Attack No.1. Now set in high school the team competes at inter-high but tragedy strikes.,,,,,
29411,12-gatsu no Uta,Movie,,,Other,,1.0,G - All Ages,4.46,13409,513.0,13162.0,1013,1,"Short film by Tadanari Okamoto originally projected on three screens, and re-edited for domestic release many years later, set to a poem by Noriko Ibaraki of the same name.",,,,,
3683,Kabatotto,TV,Comedy,,Unknown,Tatsunoko Production,300.0,G - All Ages,6.03,14022,235.0,9634.0,860,2,"Thomas is a cunning bird who sponges on Hyppo, the good-natured hippopotamus. Although Thomas is a dependent, living in Hyppo's big mouth, he always acts lordly and tries to outsmart his simpleminded host. However, their basic friendship and cooperation endures despite their frequent quarrels. The two play a prime role in this comic series, short yet full of originality. 

(Source: Tatsunoko website)",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]",1971.0,winter,Finished Airing
29988,Commercial War,Movie,Avant Garde,,Original,,1.0,R+ - Mild Nudity,4.67,14867,332.0,13050.0,666,0,"In a mixture of cut-out and hand-drawn animation techniques, Tanaami jumbles together symbols of American consumer culture –such as Coca Cola, Superman, Space Age astronauts and hamburgers– with occasional Japanese iconography, such as the squat toilet. The frenetic pace of the animation, the catchphrases and songs on the soundtrack as well as the hand-drawn CRT television monitor that occasionally frames the images makes reference to television commercials.

(Source: Collaborative Cataloging Japan)",,,,,
